DWUS_BrandId,AX_RESPONSE_CODE,NAME,ATG_Start_Date,ATG_End_Date,Orders
WSJ,1407007,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,2
WSJ,1407008,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,
WSJ,1407009,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,
WSJ,1407010,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,4
WSJ,1407011,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,11
WSJ,1407012,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,3
WSJ,1407013,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,
WSJ,1407014,MM WSJ DM WSJ CM Direct Mail Jan21,12/10/20,03/21/21,45
VIRGIN,1408001,MM VIRGIN DM VIRGIN CM Direct Mail Jan21,12/10/20,03/21/21,
VIRGIN,1408002,MM VIRGIN DM VIRGIN CM Direct Mail Jan21,12/10/20,03/21/21,42
VIRGIN,1408003,MM VIRGIN DM VIRGIN CM Direct Mail Jan21,12/10/20,03/21/21,
VIRGIN,1408004,MM VIRGIN DM VIRGIN CM Direct Mail Jan21,12/10/20,03/21/21,
VIRGIN,1408005,MM VIRGIN DM VIRGIN CM Direct Mail Jan21,12/10/20,03/21/21,
VIRGIN,1408006,MM VIRGIN DM VIRGIN CM Direct Mail Jan21,12/10/20,03/21/21,
VIRGIN,1408007,MM VIRGIN DM VIRGIN CM Direct Mail Jan21,12/10/20,03/21/21,
VIRGIN,1408008,MM VIRGIN DM VIRGIN CM Direct Mail Jan21,12/10/20,03/21/21,
VIRGIN,1408009,MM VIRGIN DM VIRGIN CM Direct Mail Jan21,12/10/20,03/21/21,
VIRGIN,1408010,MM VIRGIN DM VIRGIN CM Direct Mail Jan21,12/10/20,03/21/21,
VIRGIN,1408011,MM VIRGIN DM VIRGIN CM Direct Mail Jan21,12/10/20,03/21/21,
4S,1586001,UP 4S DM Unspecified Dec-20 RedHeads T-Shirt & Coaster Set,12/10/20,03/21/21,55
WSJ,1587001,UP WSJ DM Unspecified Dec-20 RedHeads T-Shirt & Coaster Set,12/10/20,03/21/21,105
WSJ,AADD002,RC WSJ OTP - Magazine New Yorker Dec-20 2 Saracosa Govern...,12/14/20,10/08/21,211
VIRGIN,0309001,UP VIRGIN Walk up - Web Unspecified Jan-21 None,12/18/20,01/15/22,28
4S,1727007,RC 4S Inserts - Statements Default Jan-21 2 bottles Drago...,12/18/20,09/22/21,
4S,1727008,RC 4S Inserts - Statements Unspecified Jan-21 2 bottles o...,12/18/20,09/22/21,25
4S,1727009,RC 4S Inserts - Statements Welcomemat Services - New Move...,12/18/20,09/22/21,52
4S,1727010,RC 4S Inserts - Statements Welcomemat Services - New Move...,12/18/20,09/22/21,38
4S,1734013,RC 4S Web - Search Engine Winery Direct Jan-21 2 bottles ...,12/18/20,04/16/21,45
